GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03
Id,Id2,Geography,Estimate; Total:,Estimate; Total: - Imputed,Estimate; Total: - Not Imputed
0800000US360614491951000013000,360614491951000013000,"Census Tract 130, New York city (part), Manhattan borough, New York County, New York",1626,14,1612
0800000US360614491951000013100,360614491951000013100,"Census Tract 131, New York city (part), Manhattan borough, New York County, New York",1716,62,1654
0800000US360614491951000013200,360614491951000013200,"Census Tract 132, New York city (part), Manhattan borough, New York County, New York",6574,673,5901
0800000US360614491951000013300,360614491951000013300,"Census Tract 133, New York city (part), Manhattan borough, New York County, New York",4187,68,4119
0800000US360614491951000013400,360614491951000013400,"Census Tract 134, New York city (part), Manhattan borough, New York County, New York",6849,502,6347
0800000US360614491951000013500,360614491951000013500,"Census Tract 135, New York city (part), Manhattan borough, New York County, New York",3194,191,3003
0800000US360614491951000013600,360614491951000013600,"Census Tract 136, New York city (part), Manhattan borough, New York County, New York",9504,340,9164
0800000US360614491951000013700,360614491951000013700,"Census Tract 137, New York city (part), Manhattan borough, New York County, New York",4597,195,4402
0800000US360614491951000013800,360614491951000013800,"Census Tract 138, New York city (part), Manhattan borough, New York County, New York",8092,252,7840
0800000US360614491951000013900,360614491951000013900,"Census Tract 139, New York city (part), Manhattan borough, New York County, New York",5795,510,5285
0800000US360614491951000014000,360614491951000014000,"Census Tract 140, New York city (part), Manhattan borough, New York County, New York",4508,177,4331
0800000US360614491951000014200,360614491951000014200,"Census Tract 142, New York city (part), Manhattan borough, New York County, New York",1965,234,1731
0800000US360614491951000014300,360614491951000014300,"Census Tract 143, New York city (part), Manhattan borough, New York County, New York",0,0,0
0800000US360614491951000014401,360614491951000014401,"Census Tract 144.01, New York city (part), Manhattan borough, New York County, New York",2789,145,2644
0800000US360614491951000014402,360614491951000014402,"Census Tract 144.02, New York city (part), Manhattan borough, New York County, New York",4053,124,3929
0800000US360614491951000014500,360614491951000014500,"Census Tract 145, New York city (part), Manhattan borough, New York County, New York",3033,269,2764
0800000US360614491951000014601,360614491951000014601,"Census Tract 146.01, New York city (part), Manhattan borough, New York County, New York",2790,165,2625
0800000US360614491951000014602,360614491951000014602,"Census Tract 146.02, New York city (part), Manhattan borough, New York County, New York",5728,397,5331
0800000US360614491951000014700,360614491951000014700,"Census Tract 147, New York city (part), Manhattan borough, New York County, New York",1491,49,1442
0800000US360614491951000014801,360614491951000014801,"Census Tract 148.01, New York city (part), Manhattan borough, New York County, New York",1364,68,1296
0800000US360614491951000014802,360614491951000014802,"Census Tract 148.02, New York city (part), Manhattan borough, New York County, New York",4188,198,3990
0800000US360614491951000014900,360614491951000014900,"Census Tract 149, New York city (part), Manhattan borough, New York County, New York",3113,231,2882
0800000US360614491951000015001,360614491951000015001,"Census Tract 150.01, New York city (part), Manhattan borough, New York County, New York",1150,29,1121
0800000US360614491951000015002,360614491951000015002,"Census Tract 150.02, New York city (part), Manhattan borough, New York County, New York",2422,84,2338
0800000US360614491951000015100,360614491951000015100,"Census Tract 151, New York city (part), Manhattan borough, New York County, New York",4114,291,3823
0800000US360614491951000015200,360614491951000015200,"Census Tract 152, New York city (part), Manhattan borough, New York County, New York",3241,294,2947
0800000US360614491951000015300,360614491951000015300,"Census Tract 153, New York city (part), Manhattan borough, New York County, New York",5185,216,4969
0800000US360614491951000015400,360614491951000015400,"Census Tract 154, New York city (part), Manhattan borough, New York County, New York",8235,270,7965
0800000US360614491951000015500,360614491951000015500,"Census Tract 155, New York city (part), Manhattan borough, New York County, New York",5295,320,4975
0800000US360614491951000015601,360614491951000015601,"Census Tract 156.01, New York city (part), Manhattan borough, New York County, New York",4102,205,3897
0800000US360614491951000015602,360614491951000015602,"Census Tract 156.02, New York city (part), Manhattan borough, New York County, New York",956,115,841
0800000US360614491951000015700,360614491951000015700,"Census Tract 157, New York city (part), Manhattan borough, New York County, New York",6553,365,6188
0800000US360614491951000015801,360614491951000015801,"Census Tract 158.01, New York city (part), Manhattan borough, New York County, New York",2793,90,2703
0800000US360614491951000015802,360614491951000015802,"Census Tract 158.02, New York city (part), Manhattan borough, New York County, New York",2471,353,2118
0800000US360614491951000015900,360614491951000015900,"Census Tract 159, New York city (part), Manhattan borough, New York County, New York",5301,149,5152
0800000US360614491951000016001,360614491951000016001,"Census Tract 160.01, New York city (part), Manhattan borough, New York County, New York",1697,130,1567
0800000US360614491951000016002,360614491951000016002,"Census Tract 160.02, New York city (part), Manhattan borough, New York County, New York",1640,131,1509
0800000US360614491951000016100,360614491951000016100,"Census Tract 161, New York city (part), Manhattan borough, New York County, New York",4215,222,3993
0800000US360614491951000016200,360614491951000016200,"Census Tract 162, New York city (part), Manhattan borough, New York County, New York",3005,574,2431
0800000US360614491951000016300,360614491951000016300,"Census Tract 163, New York city (part), Manhattan borough, New York County, New York",4138,106,4032
0800000US360614491951000016400,360614491951000016400,"Census Tract 164, New York city (part), Manhattan borough, New York County, New York",3041,305,2736
0800000US360614491951000016500,360614491951000016500,"Census Tract 165, New York city (part), Manhattan borough, New York County, New York",4220,106,4114
0800000US360614491951000016600,360614491951000016600,"Census Tract 166, New York city (part), Manhattan borough, New York County, New York",3989,695,3294
